127.0.0.1 - - [17/Jul/2017:16:03:43 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1662
127.0.0.1 - - [17/Jul/2017:16:03:43 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:16:05:28 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:16:05:28 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:16:05:28 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:16:05:28 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:16:05:28 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1732
127.0.0.1 - - [17/Jul/2017:16:05:28 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:16:06:05 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:16:06:05 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1737
127.0.0.1 - - [17/Jul/2017:16:06:06 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:16:06:06 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:16:06:06 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:16:06:06 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:16:06:06 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1737
127.0.0.1 - - [17/Jul/2017:16:06:06 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:16:06:07 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [17/Jul/2017:16:06:35 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:16:06:35 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:16:06:35 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:16:06:35 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:16:06:35 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1779
